Frame,Food Name(s),Confidence(%)
1,Banh_khot,87
2,Banh_khot,64
3,Banh_khot,86
4,Banh_khot,57
5,Banh_khot,80
6,Banh_khot,63
7,Banh_khot,52
8,Banh_khot,85
9,Banh_khot,56
10,Banh_khot,79
11,Banh_khot,52
12,Banh_khot,84
13,Banh_khot,79
14,Banh_khot,75
15,Banh_khot,75
16,Banh_khot,56
17,Banh_khot,79
18,Banh_khot,82
19,Banh_khot,90
20,Banh_khot,77
21,Banh_khot,86
22,Banh_khot,84
23,Banh_khot,55
24,Banh_khot,81
25,Goi_cuon,57
26,Banh_khot,57
27,Banh_khot,84
28,Goi_cuon,55
29,Banh_khot,79
30,Goi_cuon,50
31,Banh_khot,68
32,Banh_khot,80
33,Banh_khot,84
34,Banh_khot,80
35,Goi_cuon,70
36,Goi_cuon,77
37,Banh_khot,74
38,Goi_cuon,87
39,Banh_khot,85
40,Goi_cuon,89
41,Banh_khot,88
42,Banh_khot,87
43,Goi_cuon,85
44,Banh_khot,76
45,Goi_cuon,65
46,Banh_khot,62
47,Banh_khot,70
48,Goi_cuon,56
49,Banh_khot,66
50,Goi_cuon,67
51,Rau,55
52,Goi_cuon,84
53,Rau,56
54,Goi_cuon,80
55,Rau,54
56,Goi_cuon,83
57,Banh_khot,60
58,Rau,55
59,Goi_cuon,76
60,Rau,70
61,Rau,74
62,Banh_khot,52
63,Rau,74
64,Goi_cuon,62
65,Goi_cuon,84
66,Rau,80
67,Rau,85
68,Banh_khot,78
69,Goi_cuon,74
70,Goi_cuon,86
71,Rau,85
72,Banh_khot,84
73,Rau,86
74,Banh_khot,60
75,Goi_cuon,55
76,Rau,86
77,Banh_khot,86
78,Banh_khot,88
79,Rau,79
80,Goi_cuon,75
81,Banh_khot,87
82,Rau,86
83,Goi_cuon,83
84,Banh_khot,92
85,Rau,82
86,Goi_cuon,75
87,Banh_khot,86
88,Goi_cuon,77
89,Rau,63
90,Banh_khot,73
91,Goi_cuon,72
92,Rau,62
93,Banh_khot,91
94,Goi_cuon,72
95,Banh_khot,88
96,Goi_cuon,83
97,Banh_khot,88
98,Goi_cuon,80
99,Rau,55
100,Banh_khot,89
101,Goi_cuon,83
102,Banh_khot,88
