Food Name(s),Confidence(%)
Con_nguoi,91
Con_nguoi,91
Con_nguoi,91
Con_nguoi,89
Con_nguoi,89
Con_nguoi,91
Con_nguoi,46
Con_nguoi,65
Con_nguoi,83
Con_nguoi,86
Con_nguoi,83
Con_nguoi,85
Con_nguoi,86
Con_nguoi,88
Con_nguoi,76
Con_nguoi,74
Con_nguoi,87
Con_nguoi,79
Con_nguoi,81
Con_nguoi,33
Con_nguoi,40
Con_nguoi,50
Con_nguoi,70
Con_nguoi,68
Con_nguoi,78
Con_nguoi,81
Con_nguoi,74
Con_nguoi,61
Con_nguoi,37
Con_nguoi,90
Con_nguoi,90
Con_nguoi,92
Con_nguoi,91
Con_nguoi,92
Con_nguoi,91
Con_nguoi,91
Con_nguoi,90
Con_nguoi,89
Con_nguoi,92
Con_nguoi,88
Con_nguoi,88
Con_nguoi,74
Con_nguoi,64
Con_nguoi,83
Con_nguoi,91
Pho,31
Con_nguoi,92
Con_nguoi,91
Pho,55
Con_nguoi,87
Pho,46
Tom,46
Tom,57
Con_nguoi,64
Con_nguoi,70
Con_nguoi,80
Con_nguoi,81
Con_nguoi,81
Con_nguoi,82
Con_nguoi,81
Con_nguoi,82
Con_nguoi,77
Con_nguoi,90
Pho,64
Con_nguoi,77
Pho,64
Con_nguoi,88
Pho,61
Con_nguoi,86
Pho,54
Pho,48
Con_nguoi,82
Con_nguoi,83
Con_nguoi,73
Con_nguoi,56
Ca_chua,42
Con_nguoi,77
Con_nguoi,88
Con_nguoi,83
Con_nguoi,82
Con_nguoi,76
Con_nguoi,68
Con_nguoi,61
Con_nguoi,63
Con_nguoi,86
Ca_chua,44
Con_nguoi,86
Ca_chua,32
Con_nguoi,73
Con_nguoi,79
Con_nguoi,78
Con_nguoi,65
Con_nguoi,74
Con_nguoi,91
Con_nguoi,59
Con_nguoi,63
Con_nguoi,80
Con_nguoi,86
Con_nguoi,83
Con_nguoi,77
Con_nguoi,86
Con_nguoi,90
Con_nguoi,90
Con_nguoi,86
Con_nguoi,85
Con_nguoi,87
